Asset Tag,Model,Category,Manufacturer,Status,Serial,Mac Address,CPU,RAM,Storage,Operating System,Graphics,Purchase Date,Purchase Cost,Location,,
A0002,Latitude 5440,Laptop,Dell,5,DLL1111,3C:52:82:A1:B2:C1,Intel Core i5-1335U,16 GB,512 GB SSD,Windows 11 Pro,Intel Iris Xe Graphics,2024-01-03,13000000,Privy HQ,,
A0003,Galaxy S24,Phone,Samsung,2,SMS2233,8C:1F:64:A2:B3:C1,Snapdragon 8 Gen 3,8 GB,256 GB,Android 15,Adreno 750,2024-01-25,12000000,Privy Quarter,,
A0004,ThinkPad,Laptop,Lenovo,1,LNO1223,48:21:0B:D4:E5:F1,Intel Core Ultra 5 125U,16 GB,512 GB SSD,Windows 11 Pro,Intel Iris Graphics,2024-02-03,19000000,Privy Quarter,,
A0005,Galaxy S24 Ultra,Phone,Samsung,1,SMS2112,8C:1F:64:A2:B3:C2,Snapdragon 8 Gen 3,12 GB,512 GB SSD,Android 15,Adreno 750,2024-03-22,20000000,Privy Quarter,,
A0006,iPhone 15,Phone,Apple ,5,APP3323,A8:7C:F5:D4:E5:F1,Apple A16 Bionic,6 GB,256 GB,iOS 18,Apple GPU (5-core),2024-04-17,16000000,Privy HQ,,
A0007,Macbook Air,Laptop ,Apple ,2,APP1122,A4:BB:6D:11:22:01,Apple M3,16 GB,512 GB SSD,macOS Sequoia,Apple Integrated GPU,2024-05-03,24000000,Privy Quarter,,
A0008,iPhone 15,Phone,Apple ,2,APP3345,A8:7C:F5:D4:E5:F2,Apple A16 Bionic,6 GB,128 GB,iOS 18,Apple GPU (5-core),2024-05-15,16000000,Privy Quarter,,
A0009,K120,Keyboard,Logitech,3,LGT7566,10:AA:22:BB:33:01,Embedded Controller,128 MB,32 MB,Firmware v1.10,Integrated,2024-05-31,180000,Privy HQ,,
A0010,Macbook Pro,Laptop,Apple ,5,APP1213,A4:BB:6D:11:22:02,Apple M4 Pro,24 GB,1 TB SSD,macOS Sequoia,Apple Integrated GPU,2024-05-20,35000000,Privy HQ,,
A0011,E24 G5,Monitor,HP,2,HPP5677,20:BB:33:CC:44:02,Display Controller,512 MB,128 MB,Monitor Firmware,Integrated,2024-06-01,2900000,Privy Quarter,,
A0012,E24 G5,Monitor,HP,2,HPP7655,20:BB:33:CC:44:03,Display Controller,512 MB,128 MB,Monitor Firmware,Integrated,2024-06-10,2900000,Privy Quarter,,
A0013,EliteBook 840 G11,Laptop,HP,5,HHP2232,7A:9B:1C:2D:3E:01,Intel Core Ultra 5 125H,16 GB,512 GB SSD,Windows 11 Pro,Apple Integrated GPU,2024-06-12,21000000,Privy HQ,,
A0014,Mac Mini,Desktop ,Apple ,3,APP5099,A4:BB:6D:33:44:01,Apple M4  ,16 GB,512 GB  ,macOS Sequoia,Apple Integrated GPU,2024-07-01,14000000,Privy Quarter,,
A0015,ThinkVision P27h-30,Monitor,Lenovo,5,LNV2243,30:CC:44:DD:55:04,Display Controller,512 MB,128 MB,Monitor Firmware,Integrated,2024-07-10,6100000,Privy HQ,,
A0016,Veriton X,Desktop,Acer,2,ACR1238,D8:5D:E2:44:55:11,Intel Core i5-14400,16 GB,512 GB  ,Windows 11 Pro,Intel UHD Graphics 730,2024-08-10,11000000,Privy Quarter,,
A0017,K120,Keyboard,Logitech,5,LGT78826,10:AA:22:BB:33:05,Embedded Controller,128 MB,32 MB,Firmware v1.10,Integrated,2024-09-28,180000,Privy HQ,,
A0018,Microsoft 365 Business Standard,Misc Software,Microsoft ,5,MCF3477,A6:CC:29:12:22:07,Cloud Service,8 GB,100 GB,Microsoft 365,Virtual,2024-10-19,2250000,Privy Quarter,,
A0019,Microsoft 365 Business Standard,Misc Software,Microsoft ,5,MCF390,A6:CC:29:12:22:10,Cloud Service,8 GB,100 GB,Microsoft 365,Virtual,2024-10-28,2250000,Privy HQ,,
A0020,ThinkVision P27h-30,Monitor,Lenovo,2,LNV6678,30:CC:44:DD:55:06,Display Controller,512 MB,128 MB,Monitor Firmware,Integrated,2024-11-10,6100000,Privy HQ,,
A0021,Galaxy S24 Ultra,Phone,Samsung,5,SMS3455,8C:1F:64:A2:B3:C3,Snapdragon 8 Gen 3,12 GB,512 GB  ,Android 15,Adreno 750,2024-11-19,25000000,Privy HQ,,
A0022,MS116,Mouse,Dell,2,DLL3445,40:DD:55:EE:66:07,Embedded Controller,64 MB,16 MB,Firmware v1.10,Integrated,2024-11-27,120000,Privy Quarter,,
A0023,MX Keys S,Keyboard,Logitech,4,LGT4421,10:AA:22:BB:33:08,Embedded Controller,256 MB,64 MB,Firmware v1.10,Integrated,2024-12-02,1800000,Privy HQ,,
A0024,M185,Mouse,Logitech,4,LGT8877,40:DD:55:EE:66:09,Embedded Controller,64 MB,16 MB,Firmware v2.10,Integrated,2024-12-10,150000,Privy HQ,,
A0025,K120,Keyboard,Logitech,3,LGT78876,10:AA:22:BB:33:10,Embedded Controller,128 MB,32 MB,Firmware v1.10,Integrated,2024-12-12,180000,Privy Quarter,,